score,Sum,Correct answer,Wrong1,Wrong2,Wrong3
356,3 - 14 =,-11,-13,-7,-10
357,2 * 6 =,12,10,16,13
358,7 + 17 =,24,22,28,25
359,4 - 13 =,-9,-11,-5,-8
360,3 * 5 =,15,13,19,16
361,8 + 16 =,24,22,28,25
362,5 - 12 =,-7,-9,-3,-6
363,4 * 4 =,16,14,20,17
364,9 + 15 =,24,22,28,25
365,6 - 11 =,-5,-7,-1,-4
366,5 * 3 =,15,13,19,16
367,10 + 14 =,24,22,28,25
368,7 - 10 =,-3,-5,1,-2
369,6 * 2 =,12,10,16,13
370,11 + 13 =,24,22,28,25
371,8 - 9 =,-1,-3,3,0
372,12 + 12 =,24,22,28,25
373,9 - 8 =,1,-1,5,2
374,13 + 11 =,24,22,28,25
375,10 - 7 =,3,1,7,4
376,2 * 7 =,14,12,18,15
377,14 + 10 =,24,22,28,25
378,11 - 6 =,5,3,9,6
379,3 * 6 =,18,16,22,19
380,15 + 9 =,24,22,28,25
381,12 - 5 =,7,5,11,8
382,4 * 5 =,20,18,24,21
383,16 + 8 =,24,22,28,25
384,13 - 4 =,9,7,13,10
385,5 * 4 =,20,18,24,21
386,17 + 7 =,24,22,28,25
387,14 - 3 =,11,9,15,12
388,6 * 3 =,18,16,22,19
389,8 + 17 =,25,23,29,26
390,15 - 2 =,13,11,17,14
391,7 * 2 =,14,12,18,15
392,9 + 16 =,25,23,29,26
393,16 - 1 =,15,13,19,16
394,10 + 15 =,25,23,29,26
395,1 - 17 =,-16,-18,-12,-15
396,11 + 14 =,25,23,29,26
397,2 - 16 =,-14,-16,-10,-13
398,2 * 8 =,16,14,20,17
399,12 + 13 =,25,23,29,26
400,3 - 15 =,-12,-14,-8,-11
401,3 * 7 =,21,19,25,22
402,13 + 12 =,25,23,29,26
403,4 - 14 =,-10,-12,-6,-9
404,4 * 6 =,24,22,28,25
405,14 + 11 =,25,23,29,26
406,5 - 13 =,-8,-10,-4,-7
407,5 * 5 =,25,23,29,26
408,15 + 10 =,25,23,29,26
409,6 - 12 =,-6,-8,-2,-5
410,6 * 4 =,24,22,28,25
411,16 + 9 =,25,23,29,26
412,7 - 11 =,-4,-6,0,-3
413,7 * 3 =,21,19,25,22
414,17 + 8 =,25,23,29,26
415,8 - 10 =,-2,-4,2,-1
416,8 * 2 =,16,14,20,17
417,9 + 17 =,26,24,30,27
418,9 - 9 =,0,-2,4,1
419,10 + 16 =,26,24,30,27
420,10 - 8 =,2,0,6,3
421,11 + 15 =,26,24,30,27
422,11 - 7 =,4,2,8,5
423,2 * 9 =,18,16,22,19
424,12 + 14 =,26,24,30,27
425,12 - 6 =,6,4,10,7
426,3 * 8 =,24,22,28,25
427,13 + 13 =,26,24,30,27
428,13 - 5 =,8,6,12,9
429,4 * 7 =,28,26,32,29
430,14 + 12 =,26,24,30,27
431,14 - 4 =,10,8,14,11
432,5 * 6 =,30,28,34,31
433,15 + 11 =,26,24,30,27
434,15 - 3 =,12,10,16,13
435,6 * 5 =,30,28,34,31
436,16 + 10 =,26,24,30,27
437,16 - 2 =,14,12,18,15
438,7 * 4 =,28,26,32,29
439,17 + 9 =,26,24,30,27
440,17 - 1 =,16,14,20,17
441,8 * 3 =,24,22,28,25
442,10 + 17 =,27,25,31,28
443,2 - 17 =,-15,-17,-11,-14
444,9 * 2 =,18,16,22,19
445,11 + 16 =,27,25,31,28
446,3 - 16 =,-13,-15,-9,-12
447,12 + 15 =,27,25,31,28
448,4 - 15 =,-11,-13,-7,-10
449,13 + 14 =,27,25,31,28
450,5 - 14 =,-9,-11,-5,-8
451,2 * 10 =,20,18,24,21
452,14 + 13 =,27,25,31,28
453,6 - 13 =,-7,-9,-3,-6
454,3 * 9 =,27,25,31,28
455,15 + 12 =,27,25,31,28
456,7 - 12 =,-5,-7,-1,-4
457,4 * 8 =,32,30,36,33
458,16 + 11 =,27,25,31,28
459,8 - 11 =,-3,-5,1,-2
460,5 * 7 =,35,33,39,36
461,17 + 10 =,27,25,31,28
462,9 - 10 =,-1,-3,3,0
463,6 * 6 =,36,34,40,37
464,11 + 17 =,28,26,32,29
465,10 - 9 =,1,-1,5,2
466,7 * 5 =,35,33,39,36
467,12 + 16 =,28,26,32,29
468,11 - 8 =,3,1,7,4
469,8 * 4 =,32,30,36,33
470,13 + 15 =,28,26,32,29
471,12 - 7 =,5,3,9,6
472,9 * 3 =,27,25,31,28
473,14 + 14 =,28,26,32,29
474,13 - 6 =,7,5,11,8
475,10 * 2 =,20,18,24,21
476,15 + 13 =,28,26,32,29
477,14 - 5 =,9,7,13,10
478,16 + 12 =,28,26,32,29
479,15 - 4 =,11,9,15,12
480,17 + 11 =,28,26,32,29
481,16 - 3 =,13,11,17,14
482,2 * 11 =,22,20,26,23
483,12 + 17 =,29,27,33,30
484,17 - 2 =,15,13,19,16
485,3 * 10 =,30,28,34,31
486,13 + 16 =,29,27,33,30
487,3 - 17 =,-14,-16,-10,-13
488,4 * 9 =,36,34,40,37
489,14 + 15 =,29,27,33,30
490,4 - 16 =,-12,-14,-8,-11
491,5 * 8 =,40,38,44,41
492,15 + 14 =,29,27,33,30
493,5 - 15 =,-10,-12,-6,-9
494,6 * 7 =,42,40,46,43
495,16 + 13 =,29,27,33,30
496,6 - 14 =,-8,-10,-4,-7
497,7 * 6 =,42,40,46,43
498,17 + 12 =,29,27,33,30
499,7 - 13 =,-6,-8,-2,-5
500,8 * 5 =,40,38,44,41
501,13 + 17 =,30,28,34,31
502,8 - 12 =,-4,-6,0,-3
503,9 * 4 =,36,34,40,37
504,14 + 16 =,30,28,34,31
505,9 - 11 =,-2,-4,2,-1
506,10 * 3 =,30,28,34,31
507,15 + 15 =,30,28,34,31
508,10 - 10 =,0,-2,4,1
509,11 * 2 =,22,20,26,23
510,16 + 14 =,30,28,34,31
511,11 - 9 =,2,0,6,3
512,17 + 13 =,30,28,34,31
513,12 - 8 =,4,2,8,5
514,14 + 17 =,31,29,35,32
515,13 - 7 =,6,4,10,7
516,2 * 12 =,24,22,28,25
517,15 + 16 =,31,29,35,32
518,14 - 6 =,8,6,12,9
519,3 * 11 =,33,31,37,34
520,16 + 15 =,31,29,35,32
521,15 - 5 =,10,8,14,11
522,4 * 10 =,40,38,44,41
523,17 + 14 =,31,29,35,32
524,16 - 4 =,12,10,16,13
525,5 * 9 =,45,43,49,46
526,15 + 17 =,32,30,36,33
527,17 - 3 =,14,12,18,15
528,6 * 8 =,48,46,52,49
529,16 + 16 =,32,30,36,33
530,4 - 17 =,-13,-15,-9,-12
531,7 * 7 =,49,47,53,50
532,17 + 15 =,32,30,36,33
533,5 - 16 =,-11,-13,-7,-10
534,8 * 6 =,48,46,52,49
535,16 + 17 =,33,31,37,34
536,6 - 15 =,-9,-11,-5,-8
537,9 * 5 =,45,43,49,46
538,17 + 16 =,33,31,37,34
539,7 - 14 =,-7,-9,-3,-6
540,10 * 4 =,40,38,44,41
541,17 + 17 =,34,32,38,35
542,8 - 13 =,-5,-7,-1,-4
543,11 * 3 =,33,31,37,34
544,9 - 12 =,-3,-5,1,-2
545,12 * 2 =,24,22,28,25
546,10 - 11 =,-1,-3,3,0
547,11 - 10 =,1,-1,5,2
548,12 - 9 =,3,1,7,4
549,2 * 13 =,26,24,30,27
550,13 - 8 =,5,3,9,6
551,3 * 12 =,36,34,40,37
552,14 - 7 =,7,5,11,8
553,4 * 11 =,44,42,48,45
554,15 - 6 =,9,7,13,10
555,5 * 10 =,50,48,54,51
556,16 - 5 =,11,9,15,12
557,6 * 9 =,54,52,58,55
558,17 - 4 =,13,11,17,14
559,7 * 8 =,56,54,60,57
560,5 - 17 =,-12,-14,-8,-11
561,8 * 7 =,56,54,60,57
562,6 - 16 =,-10,-12,-6,-9
563,9 * 6 =,54,52,58,55
564,7 - 15 =,-8,-10,-4,-7
565,10 * 5 =,50,48,54,51
566,8 - 14 =,-6,-8,-2,-5
567,11 * 4 =,44,42,48,45
568,9 - 13 =,-4,-6,0,-3
569,12 * 3 =,36,34,40,37
570,10 - 12 =,-2,-4,2,-1
571,13 * 2 =,26,24,30,27
572,11 - 11 =,0,-2,4,1
573,12 - 10 =,2,0,6,3
574,13 - 9 =,4,2,8,5
575,2 * 14 =,28,26,32,29
576,14 - 8 =,6,4,10,7
577,3 * 13 =,39,37,43,40
578,15 - 7 =,8,6,12,9
579,4 * 12 =,48,46,52,49
580,16 - 6 =,10,8,14,11
581,5 * 11 =,55,53,59,56
582,17 - 5 =,12,10,16,13
583,6 * 10 =,60,58,64,61
584,6 - 17 =,-11,-13,-7,-10
585,7 * 9 =,63,61,67,64
586,7 - 16 =,-9,-11,-5,-8
587,8 * 8 =,64,62,68,65
588,8 - 15 =,-7,-9,-3,-6
589,9 * 7 =,63,61,67,64
590,4 / 2 =,2,0,6,3
591,9 - 14 =,-5,-7,-1,-4
592,10 * 6 =,60,58,64,61
593,10 - 13 =,-3,-5,1,-2
594,11 * 5 =,55,53,59,56
595,11 - 12 =,-1,-3,3,0
596,12 * 4 =,48,46,52,49
597,12 - 11 =,1,-1,5,2
598,13 * 3 =,39,37,43,40
599,13 - 10 =,3,1,7,4
600,14 * 2 =,28,26,32,29
601,14 - 9 =,5,3,9,6
602,15 - 8 =,7,5,11,8
603,16 - 7 =,9,7,13,10
604,2 * 15 =,30,28,34,31
605,17 - 6 =,11,9,15,12
606,3 * 14 =,42,40,46,43
607,7 - 17 =,-10,-12,-6,-9
608,4 * 13 =,52,50,56,53
609,8 - 16 =,-8,-10,-4,-7
610,5 * 12 =,60,58,64,61
611,9 - 15 =,-6,-8,-2,-5
612,6 * 11 =,66,64,70,67
613,10 - 14 =,-4,-6,0,-3
614,7 * 10 =,70,68,74,71
615,6 / 2 =,3,1,7,4
616,11 - 13 =,-2,-4,2,-1
617,8 * 9 =,72,70,76,73
618,12 - 12 =,0,-2,4,1
619,9 * 8 =,72,70,76,73
620,13 - 11 =,2,0,6,3
621,10 * 7 =,70,68,74,71
622,14 - 10 =,4,2,8,5
623,11 * 6 =,66,64,70,67
624,15 - 9 =,6,4,10,7
625,12 * 5 =,60,58,64,61
626,16 - 8 =,8,6,12,9
627,13 * 4 =,52,50,56,53
628,17 - 7 =,10,8,14,11
629,14 * 3 =,42,40,46,43
630,6 / 3 =,2,0,6,3
631,8 - 17 =,-9,-11,-5,-8
632,15 * 2 =,30,28,34,31
633,9 - 16 =,-7,-9,-3,-6
634,10 - 15 =,-5,-7,-1,-4
635,11 - 14 =,-3,-5,1,-2
636,2 * 16 =,32,30,36,33
637,12 - 13 =,-1,-3,3,0
638,3 * 15 =,45,43,49,46
639,13 - 12 =,1,-1,5,2
640,4 * 14 =,56,54,60,57
641,14 - 11 =,3,1,7,4
642,5 * 13 =,65,63,69,66
643,15 - 10 =,5,3,9,6
644,6 * 12 =,72,70,76,73
645,16 - 9 =,7,5,11,8
646,7 * 11 =,77,75,81,78
647,17 - 8 =,9,7,13,10
648,8 * 10 =,80,78,84,81
649,8 / 2 =,4,2,8,5
650,9 - 17 =,-8,-10,-4,-7
651,9 * 9 =,81,79,85,82
652,10 - 16 =,-6,-8,-2,-5
653,10 * 8 =,80,78,84,81
654,11 - 15 =,-4,-6,0,-3
655,11 * 7 =,77,75,81,78
656,12 - 14 =,-2,-4,2,-1
657,12 * 6 =,72,70,76,73
658,13 - 13 =,0,-2,4,1
659,13 * 5 =,65,63,69,66
660,14 - 12 =,2,0,6,3
661,14 * 4 =,56,54,60,57
662,15 - 11 =,4,2,8,5
663,15 * 3 =,45,43,49,46
664,16 - 10 =,6,4,10,7
665,16 * 2 =,32,30,36,33
666,17 - 9 =,8,6,12,9
667,10 - 17 =,-7,-9,-3,-6
668,2 * 17 =,34,32,38,35
669,11 - 16 =,-5,-7,-1,-4
670,3 * 16 =,48,46,52,49
671,12 - 15 =,-3,-5,1,-2
672,4 * 15 =,60,58,64,61
673,13 - 14 =,-1,-3,3,0
674,5 * 14 =,70,68,74,71
675,14 - 13 =,1,-1,5,2
676,6 * 13 =,78,76,82,79
677,15 - 12 =,3,1,7,4
678,7 * 12 =,84,82,88,85
679,16 - 11 =,5,3,9,6
680,8 * 11 =,88,86,92,89
681,17 - 10 =,7,5,11,8
682,9 * 10 =,90,88,94,91
683,11 - 17 =,-6,-8,-2,-5
684,10 * 9 =,90,88,94,91
685,12 - 16 =,-4,-6,0,-3
686,11 * 8 =,88,86,92,89
687,8 / 4 =,2,0,6,3
688,13 - 15 =,-2,-4,2,-1
689,12 * 7 =,84,82,88,85
690,9 / 3 =,3,1,7,4
691,14 - 14 =,0,-2,4,1
692,13 * 6 =,78,76,82,79
693,10 / 2 =,5,3,9,6
694,15 - 13 =,2,0,6,3
695,14 * 5 =,70,68,74,71
696,16 - 12 =,4,2,8,5
697,15 * 4 =,60,58,64,61
698,17 - 11 =,6,4,10,7
699,16 * 3 =,48,46,52,49
700,12 - 17 =,-5,-7,-1,-4
701,17 * 2 =,34,32,38,35
702,13 - 16 =,-3,-5,1,-2
703,3 * 17 =,51,49,55,52
704,14 - 15 =,-1,-3,3,0
705,4 * 16 =,64,62,68,65
706,15 - 14 =,1,-1,5,2
707,5 * 15 =,75,73,79,76
708,16 - 13 =,3,1,7,4
709,6 * 14 =,84,82,88,85
710,17 - 12 =,5,3,9,6
711,7 * 13 =,91,89,95,92
712,13 - 17 =,-4,-6,0,-3
713,8 * 12 =,96,94,100,97
714,14 - 16 =,-2,-4,2,-1
715,9 * 11 =,99,97,103,100
716,15 - 15 =,0,-2,4,1
717,10 * 10 =,100,98,104,101
718,16 - 14 =,2,0,6,3
719,11 * 9 =,99,97,103,100
720,17 - 13 =,4,2,8,5
721,12 * 8 =,96,94,100,97
722,14 - 17 =,-3,-5,1,-2
723,13 * 7 =,91,89,95,92
724,15 - 16 =,-1,-3,3,0
725,14 * 6 =,84,82,88,85
726,16 - 15 =,1,-1,5,2
727,15 * 5 =,75,73,79,76
728,17 - 14 =,3,1,7,4
729,16 * 4 =,64,62,68,65
730,15 - 17 =,-2,-4,2,-1
731,17 * 3 =,51,49,55,52
732,16 - 16 =,0,-2,4,1
733,4 * 17 =,68,66,72,69
734,17 - 15 =,2,0,6,3
735,5 * 16 =,80,78,84,81
736,16 - 17 =,-1,-3,3,0
737,6 * 15 =,90,88,94,91
738,17 - 16 =,1,-1,5,2
739,7 * 14 =,98,96,102,99
740,17 - 17 =,0,-2,4,1
741,8 * 13 =,104,102,108,105
742,9 * 12 =,108,106,112,109
743,12 / 2 =,6,4,10,7
744,10 * 11 =,110,108,114,111
745,11 * 10 =,110,108,114,111
746,12 * 9 =,108,106,112,109
